"Data Source","World Development Indicators",

"Last Updated Date","2021-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Chile","CHL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5051919","5181861","5331183","5463295","5590489","5737009","5872971","6011560","6137489","6240043","6283605","6316344","6385547","6571340","6782120","6980733","7198953","7410920","7730995","7845879","8032734","8315947","8423909","8556190","8714048","8861044","9000801","9208791","9391885","9514562","8859868",
"China","CHN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","641539560","650029991","660818516","672627871","683538047","692423758","705042206","713343999","719231361","725914239","734745358","738908768","745095895","752357588","758741124","763719701","768097193","771363489","773625815","774904774","775372828","778344032","781065415","783402608","785158479","786338838","786996416","787183184","785986127","783981163","771255814",
"Cote d'Ivoire","CIV","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4430751","4593513","4765598","4944058","5126113","5303772","5465061","5632236","5797959","5924346","6044605","6115838","6181555","6243370","6307018","6375398","6453206","6539481","6634611","6735766","6842722","6958692","7080483","7207321","7341139","7480187","7616765","7603546","7822369","8047575","8148055",
"Cameroon","CMR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5257282","5411881","5571880","5740781","5910284","6086166","6257143","6434305","6619890","6812810","7014332","7213220","7419591","7633627","7856899","8092421","8325462","8570760","8633267","8677070","8703898","8963938","9232295","9509728","9797048","10091532","10391573","10703273","11023211","11351498","11484246",
"Congo, Dem. Rep.","COD","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13393255","13902155","14473530","15077709","15646565","16171633","16612669","17034971","17437750","17873806","18365475","18870817","19416059","19998578","20615035","21267594","21595160","21946023","22311503","22679412","23054965","23377698","23708506","24480526","25282845","26129042","26995845","27896291","28829039","29801894","29798149",
"Congo, Rep.","COG","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","892052","919224","947751","978550","1011675","1044739","1078482","1115221","1152989","1193473","1233183","1272465","1312814","1356525","1402208","1450437","1503621","1562596","1621513","1679730","1735836","1783089","1827735","1871328","1913965","1960414","2013012","2068040","2124150","2182727","2149740",
"Colombia","COL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14100131","14479756","14882802","15308324","15747848","16188120","16571539","16997117","17389552","17692384","18122165","18562289","18959990","19518086","19513046","19705002","19817286","19931023","20484029","21750089","22438334","23074243","23782561","24040659","24476295","25054594","25430737","25865153","26235986","26413531","24802308",
"Comoros","COM","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93933","97140","99880","102992","106621","109917","113492","116839","120451","124145","127464","131152","135019","139052","143245","148405","153634","159137","164923","170968","177284","183681","190311","197199","204264","210571","216517","222594","228821","235263","234737",
"Cabo Verde","CPV","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112177","114752","117743","121027","124506","128045","131118","134291","137534","140809","144165","148537","152778","157036","161553","166408","172045","177941","183995","189858","195407","200936","206239","211243","215939","220359","224651","228840","233493","237727","228160",
"Costa Rica","CRI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1175699","1204091","1221781","1275719","1325218","1389639","1387344","1485844","1571736","1609637","1623242","1731137","1767946","1816458","1829125","1942025","1977700","2049811","2083034","2106451","2107940","2123460","2294366","2316936","2343181","2338013","2273163","2336894","2445740","2568230","2444805",
